ts,b,bz,n,v,f10,dst
1998-01-01 00:00:00+00:00,3.1,2.2,7.7,366.0,98.3,-9
1998-01-01 01:00:00+00:00,4.1,3.3,8.3,367.0,98.3,-8
1998-01-01 02:00:00+00:00,4.4,-0.9,8.2,359.0,98.3,-9
1998-01-01 03:00:00+00:00,4.7,-1.1,8.8,364.0,98.3,-9
1998-01-01 04:00:00+00:00,5.4,-1.2,8.5,362.0,98.3,-13
1998-01-01 05:00:00+00:00,4.7,0.0,9.2,364.0,98.3,-16
1998-01-01 06:00:00+00:00,2.6,-0.2,9.2,381.0,98.3,-20
1998-01-01 07:00:00+00:00,5.2,-2.0,9.0,363.0,98.3,-26
1998-01-01 08:00:00+00:00,4.4,-2.7,9.0,380.0,98.3,-30
1998-01-01 09:00:00+00:00,6.0,-4.0,7.4,368.0,98.3,-30
1998-01-01 10:00:00+00:00,4.7,4.0,8.4,369.0,98.3,-30
1998-01-01 11:00:00+00:00,5.2,3.7,9.3,362.0,98.3,-21
1998-01-01 12:00:00+00:00,5.3,1.0,9.2,345.0,98.3,-15
1998-01-01 13:00:00+00:00,5.7,1.3,8.8,339.0,98.3,-13
1998-01-01 14:00:00+00:00,5.6,-1.4,8.2,343.0,98.3,-12
1998-01-01 15:00:00+00:00,5.4,-0.9,7.2,371.0,98.3,-14
1998-01-01 16:00:00+00:00,4.6,-0.7,6.7,351.0,98.3,-17
1998-01-01 17:00:00+00:00,6.5,0.6,6.7,311.0,98.3,-18
1998-01-01 18:00:00+00:00,6.5,-0.2,6.7,313.0,98.3,-12
1998-01-01 19:00:00+00:00,6.8,-0.3,6.6,316.0,98.3,-10
1998-01-01 20:00:00+00:00,7.5,-0.3,6.3,314.0,98.3,-11
1998-01-01 21:00:00+00:00,7.2,-1.7,6.3,315.0,98.3,-14
1998-01-01 22:00:00+00:00,7.0,-0.6,6.1,314.0,98.3,-19
1998-01-01 23:00:00+00:00,6.7,2.2,6.9,319.0,98.3,-16
1998-01-02 00:00:00+00:00,6.2,1.1,7.3,319.0,97.6,-12
1998-01-02 01:00:00+00:00,6.0,-1.2,7.6,327.0,97.6,-9
1998-01-02 02:00:00+00:00,5.3,-0.6,7.5,334.0,97.6,-11
1998-01-02 03:00:00+00:00,4.6,0.2,8.2,336.0,97.6,-11
1998-01-02 04:00:00+00:00,5.1,-0.9,8.2,330.0,97.6,-9
1998-01-02 05:00:00+00:00,5.6,-3.6,7.8,328.0,97.6,-9
1998-01-02 06:00:00+00:00,4.5,-1.7,7.8,335.0,97.6,-15
1998-01-02 07:00:00+00:00,4.2,-0.9,7.3,341.0,97.6,-19
1998-01-02 08:00:00+00:00,5.3,0.3,6.6,341.0,97.6,-21
1998-01-02 09:00:00+00:00,5.3,1.2,7.0,337.0,97.6,-20
1998-01-02 10:00:00+00:00,5.3,1.0,6.7,344.0,97.6,-18
1998-01-02 11:00:00+00:00,5.5,2.3,6.8,346.0,97.6,-16
1998-01-02 12:00:00+00:00,4.0,0.1,6.7,344.0,97.6,-14
1998-01-02 13:00:00+00:00,6.5,-4.0,5.6,354.0,97.6,-13
1998-01-02 14:00:00+00:00,5.4,-3.4,6.4,347.0,97.6,-11
1998-01-02 15:00:00+00:00,5.0,-0.4,6.8,338.0,97.6,-14
1998-01-02 16:00:00+00:00,5.8,2.1,7.0,340.0,97.6,-16
1998-01-02 17:00:00+00:00,5.3,0.4,6.8,352.0,97.6,-11
1998-01-02 18:00:00+00:00,4.3,1.2,6.7,350.0,97.6,-6
1998-01-02 19:00:00+00:00,4.5,1.2,5.9,353.0,97.6,-3
1998-01-02 20:00:00+00:00,3.0,-1.0,5.9,363.0,97.6,-2
1998-01-02 21:00:00+00:00,4.2,-1.6,5.9,373.0,97.6,-5
1998-01-02 22:00:00+00:00,4.0,2.1,5.7,375.0,97.6,-12
